file;;row;;col;;error;;analyzer
internal/lua/lua.go;;38;;9;;if block ends with a return statement, so drop this else and outdent its block (move short variable declaration to its own line if necessary);;(golint)
internal/config/colorscheme.go;;71;;9;;if block ends with a return statement, so drop this else and outdent its block (move short variable declaration to its own line if necessary);;(golint)
internal/config/plugin_installer.go;;55;;2;;struct field `Url` should be `URL`;;(golint)
internal/config/plugin_installer.go;;173;;3;;struct field `Url` should be `URL`;;(golint)
internal/config/plugin_installer.go;;511;;1;;receiver name all should be consistent with previous receiver name pl for PluginPackages;;(golint)
internal/config/plugin_installer.go;;590;;1;;receiver name pl should be consistent with previous receiver name pp for PluginPackage;;(golint)
internal/config/settings.go;;343;;1;;comment on exported var `DefaultGlobalOnlySettings` should be of the form `DefaultGlobalOnlySettings ...`;;(golint)
internal/util/util.go;;499;;6;;func HttpRequest should be HTTPRequest;;(golint)
internal/buffer/autocomplete.go;;154;;6;;func name will be used as buffer.BufferComplete by other packages, and that stutters; consider calling this Complete;;(golint)
internal/buffer/buffer.go;;1102;;31;;error strings should not be capitalized or end with punctuation or a newline;;(golint)
internal/buffer/eventhandler.go;;92;;11;;`if` block ends with a `return` statement, so drop this `else` and outdent its block;;(golint)
internal/buffer/line_array_test.go;;10;;5;;don't use underscores in Go names; var `unicode_txt` should be `unicodeTxt`;;(golint)
internal/info/infobuffer.go;;11;;6;;type name will be used as info.InfoBuf by other packages, and that stutters; consider calling this Buf;;(golint)
internal/display/statusline.go;;77;;11;;if block ends with a return statement, so drop this else and outdent its block (move short variable declaration to its own line if necessary);;(golint)
internal/action/actions.go;;1195;;4;;should replace `h.Cursor.CurSelection[sel].Y -= 1` with `h.Cursor.CurSelection[sel].Y--`;;(golint)
internal/config/plugin_installer.go;;461;;16;;G110: Potential DoS vulnerability via decompression bomb;;(gosec)
internal/util/util.go;;463;;11;;G305: File traversal when extracting zip/tar archive;;(gosec)
internal/util/util.go;;480;;13;;G110: Potential DoS vulnerability via decompression bomb;;(gosec)
internal/buffer/buffer.go;;6;;2;;G501: Blocklisted import crypto/md5: weak cryptographic primitive;;(gosec)
internal/buffer/buffer.go;;646;;7;;G401: Use of weak cryptographic primitive;;(gosec)
internal/buffer/save.go;;36;;9;;G204: Subprocess launched with a potential tainted input or cmd arguments;;(gosec)
internal/buffer/buffer_test.go;;105;;23;;G404: Use of weak random number generator (math/rand instead of crypto/rand);;(gosec)
internal/buffer/buffer_test.go;;113;;27;;G404: Use of weak random number generator (math/rand instead of crypto/rand);;(gosec)
internal/buffer/buffer_test.go;;160;;35;;G404: Use of weak random number generator (math/rand instead of crypto/rand);;(gosec)
internal/shell/terminal.go;;77;;9;;G204: Subprocess launched with a potential tainted input or cmd arguments;;(gosec)
internal/action/command.go;;146;;9;;G204: Subprocess launched with a potential tainted input or cmd arguments;;(gosec)
pkg/highlight/highlighter.go;;95;;-1;;line is 130 characters;;(lll)
pkg/highlight/highlighter.go;;164;;-1;;line is 128 characters;;(lll)
pkg/highlight/highlighter.go;;210;;-1;;line is 123 characters;;(lll)
pkg/highlight/highlighter.go;;221;;-1;;line is 148 characters;;(lll)
pkg/highlight/highlighter.go;;246;;-1;;line is 128 characters;;(lll)
internal/config/settings.go;;109;;-1;;line is 180 characters;;(lll)
internal/config/settings.go;;130;;-1;;line is 174 characters;;(lll)
internal/config/settings.go;;146;;-1;;line is 174 characters;;(lll)
internal/config/settings.go;;311;;-1;;line is 135 characters;;(lll)
internal/util/profile.go;;16;;-1;;line is 170 characters;;(lll)
